-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
-	64: benefits.pricing.disclaimer	index	Note on price: The price of **{price}** does not include local taxes, which might have to be paid in your region. To see your total price, visit the [checkout page]({urlCheckoutPage}). If you pay on Gumroad.com via PayPal in a currency other than Euros, PayPal will charge an additional 4.5% currency conversion fee.\n\nI would like to include these fees in the price - to make the buying experience simpler and clearer. But this is currently not possible due to limitations with the sales platform Gumroad.com. I hope the price still feels very fair and cheap.	Hinweis zum Preis: Der Preis von **{price}** ist ohne lokale Steuern, die eventuell in deiner Region gezahlt werden müssen. Um den Gesamtpreis zu sehen, besuche die [Kassenseite]({urlCheckoutPage}). Wenn du auf Gumroad.com über PayPal in einer anderen Währung als Euro zahlst, berechnet PayPal eine zusätzliche Währungsumrechnungsgebühr von 4,5%.\n\nIch würde die Gebühren gerne im Preis einschließen - damit die Kauferfahrung einfacher und klarer ist. Aber das ist momentan wegen Einschränkungen bei der Verkaufsplattform Gumroad.com nicht möglich. Ich hoffe der Preis fühlt sich trotzdem sehr fair und günstig an.	
+	64: benefits.pricing.disclaimer	index	Note on price: The price of **{price}** does not include local taxes, which might have to be paid in your region. To see your total price, visit the [checkout page]({urlCheckoutPage}). If you pay on Gumroad.com via PayPal in a currency other than Euros, PayPal will charge an additional 4.5% currency conversion fee.\n\nI would like to include these fees in the price - to make the buying experience simpler and clearer. But this is currently not possible due to limitations with the sales platform Gumroad.com. I hope the price still feels very fair and cheap.	Hinweis zum Preis: Der Preis von **{price}** enthält keine lokalen Steuern, die in deiner Region möglicherweise anfallen. Um deinen Gesamtpreis zu sehen, besuche die [Checkout-Seite]({urlCheckoutPage}). Wenn du auf Gumroad.com über PayPal in einer anderen Währung als Euro bezahlst, berechnet PayPal eine zusätzliche Währungsumrechnungsgebühr von 4,5%.\n\nIch würde diese Gebühren gerne in den Preis einbeziehen - um das Kauferlebnis einfacher und klarer zu machen. Aber das ist derzeit aufgrund von Einschränkungen der Verkaufsplattform Gumroad.com nicht möglich. Ich hoffe, der Preis fühlt sich trotzdem sehr fair und günstig an.	
-	65: benefits.pricing.free-days.title	index	Free for **{trialDays} Days**	**{trialDays} Tage** kostenlos	
+	65: benefits.pricing.free-days.title	index	Free for **{trialDays} Days**	Kostenlos für **{trialDays} Tage**	
-	66: benefits.pricing.free-days.body	index	Mac Mouse Fix is free for {trialDays} days. Your **free days are only used up when you actually use the app**. That way you can get the most out of your free days - without any stress.	Mac Mouse Fix ist {trialDays} Tage lang kostenlos. Deine **kostenlosen Tage werden nur verbraucht, wenn du die App tatsächlich benutzt**. So kannst du alles aus deinen kostenlosen Tagen herausholen - Ganz ohne Stress.	
+	66: benefits.pricing.free-days.body	index	Mac Mouse Fix is free for {trialDays} days. Your **free days are only used up when you actually use the app**. That way you can get the most out of your free days - without any stress.	Mac Mouse Fix ist {trialDays} Tage kostenlos. Deine **kostenlosen Tage werden nur verbraucht, wenn du die App tatsächlich nutzt**. So kannst du das Beste aus deinen kostenlosen Tagen herausholen - ohne Stress.	
-	68: benefits.pricing.price.body	index	Mac Mouse Fix costs {price} ([+ taxes]({urlTaxes})) to own - and that's it. There are no subscriptions or additional payments. I made sure the checkout experience is as **nice** and **quick** as possible, and you can even pay with **Apple Pay**!\n\nTo buy the app, click the button in the app, or click [here]({urlBuyApp}).	Mac Mouse Fix kostet {price} ([+ Steuern]({urlTaxes})) zum Besitzen - und das war's.  Es gibt keine Abonnements oder zusätzlichen Zahlungen. Ich habe darauf geachtet, dass die Kauferfahrung so **angenehm** und **schnell** wie möglich ist, und du kannst sogar mit **Apple Pay** bezahlen!\n\nUm die App zu kaufen, klicke den Button in der App, oder klicke [hier]({urlBuyApp}).	
+	68: benefits.pricing.price.body	index	Mac Mouse Fix costs {price} ([+ taxes]({urlTaxes})) to own - and that's it. There are no subscriptions or additional payments. I made sure the checkout experience is as **nice** and **quick** as possible, and you can even pay with **Apple Pay**!\n\nTo buy the app, click the button in the app, or click [here]({urlBuyApp}).	Mac Mouse Fix kostet {price} ([+ Steuern]({urlTaxes})) zum Besitzen - und das war's. Es gibt keine Abonnements oder zusätzliche Zahlungen. Ich habe darauf geachtet, dass das Checkout-Erlebnis so **angenehm** und **schnell** wie möglich ist, und du kannst sogar mit **Apple Pay** bezahlen!\n\nUm die App zu kaufen, klicke auf den Button in der App oder klicke [hier]({urlBuyApp}).	
-	69: benefits.pricing.alternatives.title	index	Better value than the **Alternatives**	Preiswerter als die **Alternativen**	
+	69: benefits.pricing.alternatives.title	index	Better value than the **Alternatives**	Besseres Preis-Leistungs-Verhältnis als die **Alternativen**	
-	70: benefits.pricing.alternatives.body	index	Mac Mouse Fix makes your $10 mouse better than a Logitech MX Master mouse or an Apple Trackpad. (These are considered some of the best input devices for Macs.)\n\nAnd yet, Mac Mouse Fix is **[{priceFactorMXMaster}x]({urlMXMaster})** cheaper than an MX Master and **[{priceFactorTrackpad}x]({urlTrackpad})** cheaper than a Trackpad!	Mac Mouse Fix macht deine $10 Maus besser als eine Logitech MX Master Maus oder ein Apple Trackpad. (Diese gelten als einige der besten Eingabegeräte für Macs.)\n\nUnd trotzdem ist Mac Mouse Fix **[{priceFactorMXMaster}x]({urlMXMaster})** günstiger als eine MX Master und **[{priceFactorTrackpad}x]({urlTrackpad})** günstiger als ein Trackpad!	{priceFactorMXMaster} will get replaced by how many times more expensive the MX Master is compared to Mac Mouse Fix.\n\nThe 'x' right after stands for 'times'. E.g. '10x' means 'ten times'.\nIn other languages you'd use different symbols or words than 'x'.\nE.g. '10x' is written as '10倍' in Chinese and '10 φορές' in Greek.\n(Don't forget to add a space in languages like Greek, so it becomes '10 φορές' instead of '10φορές')
+	70: benefits.pricing.alternatives.body	index	Mac Mouse Fix makes your $10 mouse better than a Logitech MX Master mouse or an Apple Trackpad. (These are considered some of the best input devices for Macs.)\n\nAnd yet, Mac Mouse Fix is **[{priceFactorMXMaster}x]({urlMXMaster})** cheaper than an MX Master and **[{priceFactorTrackpad}x]({urlTrackpad})** cheaper than a Trackpad!	Mac Mouse Fix macht deine 10-Euro-Maus besser als eine Logitech MX Master Maus oder ein Apple Trackpad. (Diese gelten als einige der besten Eingabegeräte für Macs.)\n\nUnd dennoch ist Mac Mouse Fix **[{priceFactorMXMaster}x]({urlMXMaster})** günstiger als eine MX Master und **[{priceFactorTrackpad}x]({urlTrackpad})** günstiger als ein Trackpad!	{priceFactorMXMaster} will get replaced by how many times more expensive the MX Master is compared to Mac Mouse Fix.\n\nThe 'x' right after stands for 'times'. E.g. '10x' means 'ten times'.\nIn other languages you'd use different symbols or words than 'x'.\nE.g. '10x' is written as '10倍' in Chinese and '10 φορές' in Greek.\n(Don't forget to add a space in languages like Greek, so it becomes '10 φορές' instead of '10φορές')
-	1: localization-progress	Intro	This page is {localizationProgress} translated into {currentLocale}\nTo help translate, click [here]({url})!	Diese Seite ist {localizationProgress} übersetzt nach {currentLocale}\nUm beim Übersetzen zu helfen, klicke [hier]({url})!	"{localizationProgress}" will be replaced by a string like "84%".\n"{currentLocale}" will be replaced by a language name like "🇩🇪 Deutsch".
+	1: localization-progress	Intro	This page is {localizationProgress} translated into {currentLocale}\nTo help translate, click [here]({url})!	Diese Seite ist zu {localizationProgress} ins {currentLocale} übersetzt\nUm beim Übersetzen zu helfen, klicke [hier]({url})!	"{localizationProgress}" will be replaced by a string like "84%".\n"{currentLocale}" will be replaced by a language name like "🇩🇪 Deutsch".
-	2: intro.tagline	Intro	Make Your $10 Mouse Better Than an Apple Trackpad!	Mach deine $10 Maus besser als ein Apple Trackpad!	If this text appears wider than the big 'Mac Mouse Fix' text right above, it will get clipped at certain window sizes. I think you can only figure this out while actually looking at the live website... So you should perhaps come back to this after your initial translations have been added to the live website... Or just leave it. I should make the layout code work with any text length. [Dec 2025]
+	2: intro.tagline	Intro	Make Your $10 Mouse Better Than an Apple Trackpad!	Mach deine 10-Euro-Maus besser als ein Apple Trackpad!	If this text appears wider than the big 'Mac Mouse Fix' text right above, it will get clipped at certain window sizes. I think you can only figure this out while actually looking at the live website... So you should perhaps come back to this after your initial translations have been added to the live website... Or just leave it. I should make the layout code work with any text length. [Dec 2025]
-	3: intro.big-tagline	Intro	Make Your $10 Mouse Better Than an Apple Trackpad!	Mach deine $10 Maus besser als ein Apple Trackpad!	
+	3: intro.big-tagline	Intro	Make Your $10 Mouse Better Than an Apple Trackpad!	Mach deine 10-Euro-Maus besser als ein Apple Trackpad!	
-	JJv-GH-7io.placeholderString	LicenseSheetController	Enter Your License Key	Gib deinen Lizenzschlüssel ein	
+	JJv-GH-7io.placeholderString	LicenseSheetController	Enter Your License Key	Lizenzschlüssel eingeben	
-	accessibility.settings-link.pre-ventura	Localizable	Open 'Security & Privacy' Preferences	Öffne die 'Sicherheit & Datenschutz' Einstellungen	Will be used in a context like this: \n   1. Open 'Security & Privacy' Preferences\n   2. Switch on 'Mac Mouse Fix Helper'\n\nBackground info: 'System Preferences' were renamed to 'System Settings' in macOS Ventura. The translation for Ventura and later is defined by 46z-Nd-nh4.title and other entries in AuthorizeAccessibilityView. This here is the string for earlier versions.
+	accessibility.settings-link.pre-ventura	Localizable	Open 'Security & Privacy' Preferences	Öffne die Einstellungen „Sicherheit & Datenschutz"	Will be used in a context like this: \n   1. Open 'Security & Privacy' Preferences\n   2. Switch on 'Mac Mouse Fix Helper'\n\nBackground info: 'System Preferences' were renamed to 'System Settings' in macOS Ventura. The translation for Ventura and later is defined by 46z-Nd-nh4.title and other entries in AuthorizeAccessibilityView. This here is the string for earlier versions.
-	already-using-defaults-toast.3	Localizable	You're **already using** the default setting for mice with **3 buttons**	Du **verwendest bereits** die Standard-Einstellung für Mäuse mit **3 Tasten**	This toast notification appears in response to selecting the 'restore-buttons-alert.radio1' radio button.
+	already-using-defaults-toast.3	Localizable	You're **already using** the default setting for mice with **3 buttons**	Du nutzt **bereits** die Standardeinstellungen für Mäuse mit **3 Tasten**	This toast notification appears in response to selecting the 'restore-buttons-alert.radio1' radio button.
-	already-using-defaults-toast.5	Localizable	You're **already using** the default setting for mice with **5+ buttons**	Du **verwendest bereits** die Standard-Einstellung für Mäuse mit **5+ Tasten**	This toast notification appears in response to selecting the 'restore-buttons-alert.radio2' radio button.
+	already-using-defaults-toast.5	Localizable	You're **already using** the default setting for mice with **5+ buttons**	Du nutzt **bereits** die Standardeinstellungen für Mäuse mit **5+ Tasten**	This toast notification appears in response to selecting the 'restore-buttons-alert.radio2' radio button.
-	capture-toast.button-name.middle	Localizable	Middle Button	mittlere Taste	Note: These button names will be inserted into other "capture-toast.buttons.[...]" strings.\n\nExample: \nMiddle Button and Button 4 are now captured by Mac Mouse Fix.
+	capture-toast.button-name.middle	Localizable	Middle Button	Mittlere Maustaste	Note: These button names will be inserted into other "capture-toast.buttons.[...]" strings.\n\nExample: \nMiddle Button and Button 4 are now captured by Mac Mouse Fix.
-	capture-toast.button-name.primary	Localizable	Primary Button	primäre Taste	
+	capture-toast.button-name.primary	Localizable	Primary Button	Primäre Maustaste	
-	capture-toast.button-name.secondary	Localizable	Secondary Button	sekundäre Taste	
